Date,Average coin price,Output/T,Profit/T (USDT),Profit/T (CNY)
20210926,42670.63,0.00000667,0.27936270,1.80747666
20210925,42810.58,0.00000667,0.28027894,1.81340474
20210924,44865.26,0.00000672,0.29593272,1.91468469
20210923,43546.37,0.00000669,0.28595099,1.84724339
20210922,40734.09,0.00000672,0.26868339,1.73569469
20210921,43016.64,0.00000686,0.28965040,1.87403808
20210920,47241.75,0.00000691,0.32041848,2.07310756
20210919,48292.75,0.00000688,0.32612486,2.11002784
20210918,47299.98,0.00000690,0.32034915,2.07265900
20210917,47737.81,0.00000693,0.32472016,2.10093943
20210916,48121.40,0.00000695,0.32827407,2.12065049
20210915,47103.28,0.00000694,0.32086633,2.06317050
20210914,44940.72,0.00000691,0.30481168,1.96298721
20210913,46025.23,0.00000692,0.31261916,2.01639358
20210912,45173.68,0.00000688,0.30506152,1.96459618
20210911,44842.20,0.00000689,0.30326316,1.95301475
20210910,46395.14,0.00000693,0.31558711,2.03238098
20210909,46048.31,0.00000693,0.31322791,2.02345229
20210908,46868.57,0.00000694,0.31926749,2.06246798
20210907,52666.20,0.00000725,0.37478614,2.42486632
20210906,51756.88,0.00000723,0.36729914,2.37275244
20210905,49917.54,0.00000720,0.35277614,2.27540610
20210904,49998.00,0.00000721,0.35383552,2.28223910
20210903,49246.63,0.00000727,0.35141837,2.26664848
20210902,48810.51,0.00000728,0.34878536,2.25315342
20210901,47100.89,0.00000727,0.33610661,2.17124870
20210831,46982.91,0.00000723,0.33342007,2.15389365
20210830,48767.84,0.00000723,0.34608705,2.23918321
20210829,48895.35,0.00000719,0.34507220,2.23261713
20210828,49069.90,0.00000721,0.34726736,2.24681981
20210827,46843.86,0.00000722,0.33197349,2.14786848
20210826,48973.32,0.00000722,0.34706456,2.24897834
20210825,47674.01,0.00000777,0.36359360,2.35608652
20210824,49488.85,0.00000819,0.39783665,2.57400312
20210823,49239.22,0.00000816,0.39437997,2.55558220
20210822,48821.88,0.00000816,0.39103730,2.54174245
20210821,49322.47,0.00000816,0.39504676,2.56780394
20210820,46760.62,0.00000819,0.37590464,2.44338016
20210819,44699.37,0.00000818,0.35889568,2.32923296
20210818,44695.95,0.00000821,0.36018437,2.33399471
20210817,45901.30,0.00000818,0.36854610,2.39186418
20210816,46973.82,0.00000819,0.37761854,2.44319195
20210815,47068.50,0.00000814,0.37606965,2.43693133
20210814,47799.99,0.00000816,0.38285250,2.48088420
20210813,44400.06,0.00000843,0.36738774,2.38067255
20210812,45510.67,0.00000877,0.39176565,2.53864141
20210811,45585.00,0.00000878,0.39285294,2.54568705
20210810,46248.87,0.00000878,0.39857419,2.58674649
20210809,43794.36,0.00000878,0.37742114,2.44946319
20210808,44572.54,0.00000875,0.38281502,2.48064132
20210807,42836.87,0.00000875,0.36790807,2.38404429
20210806,40862.46,0.00000878,0.35215394,2.28195753
20210805,39723.17,0.00000879,0.34272541,2.21400614
20210804,38207.04,0.00000881,0.33039451,2.13765247
20210803,39146.86,0.00000876,0.33660035,2.17780426
20210802,39850.27,0.00000879,0.34382201,2.22109018
20210801,41461.84,0.00000874,0.35569154,2.29776734
20210731,42206.36,0.00000885,0.36663565,2.36846629
20210730,40018.49,0.00000931,0.36569911,2.36241625